,title,content,date,link
0,В Московском Политехе обсудили развитие финансового рынка на «Финатлон форуме»," На базе Московского политехнического университета 17 ноября прошел финальный этап Международной научно-практической конференции «Финатлон форум», на котором студенты и молодые специалисты со всей страны презентовали свои научные статьи.   В очном этапе форума приняли участие м...",22Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-obsudili-razvitie-finansovogo-rynka-na-finatlon-forume/
1,В Московском Политехе рассмотрели тенденции цифровой трансформации общества,"В Московском политехническом университете 21 ноября прошла Международная конференция «Цифровая трансформация общества: тенденции и перспективы». Участие в форуме приняли ученые и преподаватели ведущих российских, казахских и других зарубежных вузов, эксперты, студенты и школьники. На пленарн...",22Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-rassmotreli-tendentsii-tsifrovoy-transformatsii-obshchestva/
2, «Приоритет 2030»: Московский Политех и Курганский госуниверситет заключили соглашение о сотрудничестве,"Московский политехнический университет и Курганский государственный университет решили объединить усилия в области совершенствования подготовки кадров, а также в рамках реализации программы стратегического академического лидерства «Приоритет-2030».  Среди совместных задач в подписанном сог...",22Ноября 2022,https://mospolytech.ru/news/-prioritet-2030-moskovskiy-politekh-i-kurganskiy-gosuniversitet-zaklyuchili-soglashenie-o-sotrudnich/
3,Медийщики Московского Политеха представят вуз на форуме PRКИТ в Санкт-Петербурге," Студенты Московского политехнического университета с 26 по 29 ноября представят вуз на XIV Всероссийском форуме по связям с общественностью в сфере кино и телевидения PRКИТ 2022 в Санкт-Петербурге.  PRКИТ – это социально-образовательный проект, который объединит молодых специа...",22Ноября 2022,https://mospolytech.ru/news/mediyshchiki-moskovskogo-politekha-predstavyat-vuz-na-forume-prkit-v-sankt-peterburge/
4,Вокалисты Московского Политеха выступят на конкурсе «Золотой голос»,"В Московском политехническом университете пройдет ежегодный главный вокальный конкурс университета — «Золотой голос». Мероприятие состоится 1 декабря в 18:30, на концерт приглашают всех студентов вуза. Прежде чем выступить на большой сцене вокалисты прошли этап прослушивания. В этом году в о...",22Ноября 2022,https://mospolytech.ru/news/vokalisty-moskovskogo-politekha-vystupyat-na-konkurse-zolotoy-golos/
5,На «Интерфесте» иностранные студенты Московского Политеха угощали гостей национальными блюдами,"Международный фестиваль-конкурс национальных культур стартовал в Московском Политехе с самой вкусной номинации – конкурса «Национальная кухня». Свои блюда представили команды Индии, Сербии, Албании, Сирии, Бангладеша, Мексики, Кыргызстана, Шри-Ланки, Афганистана, Таджикистана, Узбекистана, Пале...",21Ноября 2022,https://mospolytech.ru/news/na-interfeste-inostrannye-studenty-moskovskogo-politekha-ugoshchali-gostey-natsionalnymi-blyudami/
6,В Московском Политехе на форуме «Автонет» обсудили подготовку кадров для автопрома,"В Московском Политехе завершился Международный форум профессионалов рынка Автонет «Стратегия развития автомобильной отрасли 2035». Первый день форума участники посвятили обсуждению таких тем, как «Стратегии развития автомобильной отрасли 2035: достижение технологического суверенитета»; «Электромо...",21Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-na-forume-avtonet-obsudili-podgotovku-kadrov-dlya-avtoproma/
7,Интеллектуальный батл между учеными пройдет в Московском Политехе,На базе Московского политехнического университета состоится интеллектуальное соревнование между учеными в рамках проекта «Ученый говорит». Студентов вуза приглашают к участию в качестве слушателей. Участники события узнают о главных открытиях и актуальных идеях современной науки. Россий...,21Ноября 2022,https://mospolytech.ru/news/intellektualnyy-batl-mezhdu-uchenymi-proydet-v-moskovskom-politekhe/
8,Студенты познакомились с работодателями на Карьерном марафоне Московского Политеха,"В Московском политехническом университете студенты с 14 по 18 ноября посетили множество активностей Карьерного марафона и познакомились с будущими работодателями на выставках компаний – индустриальных партнеров и экскурсиях по производствам, прошли серию тренингов и мастер-классов от выпуск...",21Ноября 2022,https://mospolytech.ru/news/studenty-poznakomilis-s-rabotodatelyami-na-karernom-marafone-moskovskogo-politekha/
9,Представители Московского Политеха приняли участие в первой образовательной выставке в Пакистане,Русский Дом в Карачи (Пакистан) организовал образовательную выставку Study in Russia Expo и рассказал будущим абитуриентам о возможностях российских вузов. В мероприятии приняли участие представители Московского политехнического университета.  Представители Московского Политеха приняли ...,21Ноября 2022,https://mospolytech.ru/news/predstaviteli-moskovskogo-politekha-prinyali-uchastie-v-pervoy-obrazovatelnoy-vystavke-v-pakistane/
10,Интересные факты о России рассказали студентам Московского Политеха и гостям Русского дома в Дамаске,"В Московском Политехническом университете состоялась просветительская лекция «Интересные факты о России», на которой иностранные и российские студенты вуза познакомились с особенностями страны, в которой обучаются. Кроме этого, лекцию прослушали русскоязычные студенты и выпускники вузов города Да...",21Ноября 2022,https://mospolytech.ru/news/interesnye-fakty-o-rossii-rasskazali-studentam-moskovskogo-politekha-i-gostyam-russkogo-doma-v-damas/
11,Поздравление с Днем преподавателя высшей школы от ректора Московского Политеха,"Ректор Московского Политеха Владимир Миклушевский поздравляет преподавателей с профессиональным праздником: «Дорогие друзья, поздравляю вас с Днем преподавателя высшей школы! Этот праздник – дань уважения вузовским педагогам, которые всегда были и остаются элитой общества, образцом ...",19Ноября 2022,https://mospolytech.ru/news/pozdravlenie-s-dnem-prepodavatelya-vysshey-shkoly-ot-rektora-moskovskogo-politekha/
12,Люди Московского Политеха: «Общение со студентами позволяет быть в тонусе»,"В преддверии Дня преподавателя высшей школы на сайте открывается новая рубрика «Люди Московского Политеха». 19 ноября в России второй раз будет отмечаться профессиональный праздник вузовских работников – людей, посвятивших свою жизнь становлению будущих специалистов. В рамках рубрики преподавател...",18Ноября 2022,https://mospolytech.ru/news/lyudi-moskovskogo-politekha-obshchenie-so-studentami-pozvolyaet-vsegda-byt-v-tonuse/
13,В Московском Политехе отметили Международный день студента ,"В Международный день студента, который отмечается 17 ноября, на Факультете машиностроения Московского Политеха, на круглом столе собрались 20 представителей 10 стран. На мероприятии они обсудили вопросы, которые волнуют их в плане обучения, организации досуга, построения карьеры.  Как...",18Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-otmetili-mezhdunarodnyy-den-studenta-/
14,"«Черная жемчужина», «Огонь», «Murena» – в Московском Политехе расскажут о солнечных лодках","В Предпринимательской Точке кипения в понедельник, 21 ноября, ребята из команды Manta Ray поделятся со студентами и сотрудниками Московского Политеха своими успехами и планами, а также расскажут о пяти разработанных и построенных инновационных лодках. Manta Ray является сильнейшей командой солн...",17Ноября 2022,https://mospolytech.ru/news/chernaya-zhemchuzhina-ogon-murena-v-moskovskom-politekhe-rasskazhut-o-solnechnykh-lodkakh/
15,В Московском Политехе проходит Международный форум профессионалов рынка «Автонет»‎‎,"Международный форум профессионалов рынка «Автонет»‎‎, посвященный стратегии развития автомобильной отрасли, проходит в эти дни в Московском политехническом университете. Форум получил название в честь национальной технологической инициативы, которая помогает создать условия для отечественных ко...",17Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-prokhodit-mezhdunarodnyy-forum-professionalov-rynka-avtonet-/
16,Выставка художественных работ с Байкала открывается в Московском Политехе,"В Музее истории полиграфии, книгоиздания и МГУП имени Ивана Федорова 18 ноября открывается отчетная выставка пленэрной практики «Байкал. Пленэр». В 2022 году на выездной практике со своими педагогами побывали 35 студентов. За две недели на озере они выполнили около полутора тысяч графических и ...",17Ноября 2022,https://mospolytech.ru/news/vystavka-khudozhestvennykh-rabot-s-baykala-otkryvaetsya-v-moskovskom-politekhe/
17,В Московском Политехе соберут кровь на акции «День донора»,"В Московском политехническом университете 24 ноября состоится благотворительная акция по сдаче крови «День донора». К участию приглашаются сотрудники и студенты университета.   В акции могут принять участие студенты и сотрудники университета старше 18 лет, проживающие на территории Р...",17Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-soberut-krov-na-aktsii-den-donora/
18,Танцевальная команда Московского Политеха взяла высшую награду на Кубке Москвы,"Студентки Московского политехнического университета в составе танцевального коллектива Free Dance Family стали обладательницами золотых и серебряных наград Кубка города Москвы по фитнес-аэробике. В номинации «Хип-хоп большая группа» команда забрала первое место, в номинации «Хип-хоп дуэт» де...",17Ноября 2022,https://mospolytech.ru/news/tantsevalnaya-komanda-moskovskogo-politekha-vzyala-vysshuyu-nagradu-na-kubke-moskvy/
19,Географический диктант на площадке Московского Политеха написали 50 студентов и сотрудников,"Московский Политех традиционно принял участие в проведении международной образовательной акции «Географический диктант-2022». На площадке Московского Политеха после двух лет онлайн-проведения диктанта собрались 50 студентов и сотрудников вуза – любителей географии, желающих больше узнать о свое...",16Ноября 2022,https://mospolytech.ru/news/geograficheskiy-diktant-na-ploshchadke-moskovskogo-politekha-napisali-50-studentov-i-sotrudnikov/
20,"Студенты Московского Политеха узнали, каким должен быть PR в эпоху цифровых коммуникаций","Татьяна Шахнес, старший директор по связям с общественностью и ESG проектам LG Electronics в России выступила перед студентами специальности «Реклама и связи с общественностью»Факультета экономики и управления, обучающимися на специальности «Реклама и связи с общественностью» Московского П...",16Ноября 2022,https://mospolytech.ru/news/studenty-moskovskogo-politekha-uznali-kakim-dolzhen-byt-pr-v-epokhu-tsifrovykh-kommunikatsiy/
21,Московский Политех представил свои разработки на выставке «Металл-Экспо» ,"Московский Полеитех представил экспозицию своих разработок на 28-й Международной промышленной выставке «Металл-Экспо-2022». В этом году на форуме металлургов свои стенды продемонстрировали более 400 компаний, выставку посмотрели более 22 000 посетителей из всех секторов реальной экономики. Свои...",16Ноября 2022,https://mospolytech.ru/news/moskovskiy-politekh-predstavil-svoi-razrabotki-na-vystavke-metall-ekspo-/
22,Молодой ученый Московского Политеха рассказал о своей работе над мобильным электротранспортом,"Владислав Евдаков, преподаватель 3D-моделирования и макетирования на кафедре «Дизайн транспортных средств» Транспортного факультета, рассказал студентам и интересующимся о своей работе над грантом имени В.Е. Фортова. Грант был получен молодым ученым в рамках реализации программы «Приоритет 2030»....",15Ноября 2022,https://mospolytech.ru/news/molodoy-uchenyy-moskovskogo-politekha-rasskazal-o-svoey-rabote-nad-mobilnym-elektrotransportom/
23,В День менеджера в Московском Политехе обсудили развитие профессии,"В Московском Политехе отметили День менеджера – праздник специалистов, занимающихся контролем над различными процессами и задачами. Участниками мероприятий, подготовленных кафедрой «Менеджмент» Факультета экономики и управления, стали индустриальные партнеры, представители бизнес-сообществ,...",15Ноября 2022,https://mospolytech.ru/news/v-den-menedzhera-v-moskovskom-politekhe-obsudili-razvitie-professii/
24,На площадке Московского Политеха пройдет дискуссия о перспективах развития финансового рынка,"На площадке Московского политехнического университета пройдет Международная научно-практическая конференция молодых учёных и специалистов по устойчивому развитию, инвестициям и финансовым рискам «Финатлон форум».  Цель конференции – популяризация междисциплинарных знаний, формирование инте...",15Ноября 2022,https://mospolytech.ru/news/na-ploshchadke-moskovskogo-politekha-obsudyat-perspektivy-razvitiya-finansovogo-rynka/
25,PRO-фессии: как будущие веб-технологи получают практические навыки в Московском Политехе,"Студенческий медиацентр Московского Политеха «Политех Медиа» продолжает рубрику «PRO-фессии». Корреспонденты пообщались с заместителем декана по развитию Факультета информационных технологий Мариной Даньшиной и узнали, как студенты учатся на направлении «Веб-технологии»....",15Ноября 2022,https://mospolytech.ru/news/pro-fessii-kak-budushchie-veb-tekhnologi-poluchayut-prakticheskie-navyki-v-moskovskom-politekhe/
26,«Приоритет 2030»: Московский Политех открыл программу повышения квалификации по проектному обучению,"В Московском политехническом университете, в рамках реализации образовательной политики «Приоритета 2030» запущена программа повышения квалификации «Экосистема проектного обучения». В результате обучения по программе представители образовательных организаций изучат нормативные документы, формы и ...",15Ноября 2022,https://mospolytech.ru/news/prioritet-2030-moskovskiy-politekh-otkryl-programmu-povysheniya-kvalifikatsii-po-proektnomu-obucheni/
27,Стартапы Акселерационной программы в Московском Политехе получают обратную связь от экспертов,"Интенсивы Акселерационной программы проходят в Электростальском, Коломенском, Чебоксарском и Рязанском институтах (филиалах) Московского Политеха. В рамках федерального проекта «Платформа университетского технологического предпринимательства» студенты развивают свои предпринимательские навыки. ...",14Ноября 2022,https://mospolytech.ru/news/startapy-akseleratsionnoy-programmy-v-moskovskom-politekhe-poluchayut-obratnuyu-svyaz-ot-ekspertov/
28,Абитуриентов Московского Политеха погрузили в виртуальную реальность на Дне открытых дверей,"В Московском политехническом университете состоялся очный День открытых дверей для абитуриентов и их родителей, на котором компания VR Concept погрузила будущих студентов в виртуальную реальности и познакомила с вузом.  В главном корпусе университета гости вуза познакомились с инженерными ...",14Ноября 2022,https://mospolytech.ru/news/abiturientov-moskovskogo-politekha-pogruzili-v-virtualnuyu-realnost-na-dne-otkrytykh-dverey/
29,В Московском Политехе на Международном форуме Автонет обсудят будущее российского автопрома,"На площадках Московского Политеха 16 и 17 ноября 2022 года пройдет международный форум профессионалов рынка Автонет «Стратегия развития автомобильной отрасли 2035». Мероприятие организовано при поддержке Министерства науки и высшего образования, Фонда НТИ и Платформы «Национальная технологическ...",14Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-na-mezhdunarodnom-forume-avtonet-obsudyat-budushchee-rossiyskogo-avtoproma/
30,Московский Политех представил партнерам новую программу профессиональной подготовки «Контролер ОТК»,"Трехсторонняя встреча партнеров – представителей Московского Политеха, Центра занятости населения города Москвы и производственного комплекса «Салют» АО «ОДК» («Ростех») – состоялась на площадке вуза. На круглом столе была представлена новая программа повышения квалификации рабочих и служащих, ра...",14Ноября 2022,https://mospolytech.ru/news/moskovskiy-politekh-predstavil-partneram-novuyu-programmu-professionalnoy-podgotovki-operator-otk/
31,Для сотрудников и студентов Московского Политеха 14 ноября организована выездная вакцинация от гриппа,Для удобства сотрудников и студентов Московского политехнического университета организована выездная вакцинация против гриппа. Пройти вакцинацию можно бесплатно.  Филиал № 4 Государственного бюджетного учреждения здравоохранения города Москвы «Городская поликлиника № 6 Департамента здравоо...,11Ноября 2022,https://mospolytech.ru/news/dlya-sotrudnikov-i-studentov-moskovskogo-politekha-14-noyabrya-organizovana-vyezdnaya-vaktsinatsiya-/
32,Ректор Московского Политеха обсудил с активистами вуза развитие студенческого соуправления,"В Точке кипения Московского политехнического университета состоялась уже традиционная рабочая встреча ректора вуза Владимир Миклушевского с участниками Объединенного совета обучающихся. В формате живого диалога на встрече обсуждалось развитие студенческого соуправления, работа студенческих сове...",11Ноября 2022,https://mospolytech.ru/news/rektor-moskovskogo-politekha-obsudil-s-aktivistami-vuza-razvitie-studencheskogo-soupravleniya/
33,PRO-фессии: что будущие биотехнологи изучают в Московском Политехе,"Студенческий медиацентр Московского Политеха «Политех Медиа» представляет рубрику «PRO-фессии». В этой рубрике будем знакомить абитуриентов и их родителей со специальностями, которым можно обучиться в Московском Политехе.  Корреспонденты пообщались с второкурсником Факультет...",11Ноября 2022,https://mospolytech.ru/news/pro-fessii-chto-budushchie-biotekhnologi-izuchayut-v-moskovskom-politekhe/
34,Сотрудников Московского Политеха призвали участвовать в направлении НТИ «Автонет»,"В Московском политехническом университете состоялся методический семинар от инфраструктурного центра «Автонет» для сотрудников вуза. Целью мероприятия стало развитие системы профессионального сообщества, популяризация направления национальной технологической инициативы «Автонет», а также вовлечен...",10Ноября 2022,https://mospolytech.ru/news/sotrudnikov-moskovskogo-politekha-prizvali-uchastvovat-v-napravlenii-nti-avtonet/
35,Кастинг в службу протокола прошел в Московском Политехе,"Волонтерский центр Московского политехнического университета провел кастинг в службу протокола. Служба протокола — организация добровольцев, которая занимается протокольно-организационным обеспечением мероприятий и их координацией: занимается регистрацией гостей и сопровождает почетных ...",10Ноября 2022,https://mospolytech.ru/news/kasting-v-sluzhbu-protokola-proshel-v-moskovskom-politekhe/
36,Абитуриенты Московского Политеха могут принять участие в олимпиаде «Искусство графики»,В Московском политехническом университете продолжается регистрация участников на международную олимпиаду школьников «Искусство графики». Олимпиада входит в перечень олимпиад школьников и их уровней на 2023/24 учебный год Министерства науки и высшего образования РФ. Победители и п...,10Ноября 2022,https://mospolytech.ru/news/abiturienty-moskovskogo-politekha-mogut-prinyat-uchastie-v-olimpiade-iskusstvo-grafiki/
37,В Московском Политехе открывается Международный клуб для иностранных студентов,"Иностранных студентов Московского Политеха приглашают принять участие в работе Международного клуба, который открывается в вузе. Цель клуба – объединить по интересам ребят, которые приехали в Россию из стран ближнего и дальнего зарубежья и хотят развиваться, занимаясь наукой, технологиями,...",09Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-otkryvaetsya-mezhdunarodnyy-klub-dlya-inostrannykh-studentov/
38,День открытых дверей состоится в Московском Политехе 12 ноября," Московский политехнический университет приглашает абитуриентов и их родителей на масштабный День открытых дверей, который состоится в очном формате.  Насыщенная программа начнется 12 ноября в 11:00 в главном корпусе университета по адресу ул. Большая Семеновская, 38.  Реги...",09Ноября 2022,https://mospolytech.ru/news/den-otkrytykh-dverey-sostoitsya-v-moskovskom-politekhe-12-noyabrya/
39,Лучшие дипломные проекты графиков и дизайнеров представлены на выставке в Московском Политехе,"В Московском политехническом университете 10 ноября, в 16:00, откроется выставка выпускных квалификационных работ студентов кафедры «Художественно-техническое оформление печатной продукции» (ХТОПП) по направлениям «Графика» и «Дизайн». Выставка продлится до 13 мая 2023 года.   Д...",09Ноября 2022,https://mospolytech.ru/news/luchshie-diplomnye-proekty-grafikov-i-dizaynerov-predstavleny-na-vystavke-v-moskovskom-politekhe/
